date,open,high,low,close,volume
2025-10-20,101.86140032149757,101.57666463241584,99.9571924055551,100.90201180041163,1758657
2025-10-21,100.98100679616418,101.22803211242417,99.15365486979282,100.15985693307381,4340560
2025-10-22,99.0191195177833,99.66192961001143,98.60281832812623,98.66055615755133,4266898
2025-10-23,99.17241535359126,99.08934890585492,99.2079245192412,99.95654349278826,4674198
2025-10-24,97.91432182006282,97.75405929707998,97.99648592884888,98.20005379491818,4971156
2025-10-25,100.05835341089194,98.8521309768698,98.0213344890839,98.83983253042092,3314235
2025-10-26,97.6715297099913,100.26364562882539,97.31526248056272,98.57013228618705,1867083
2025-10-27,100.5123530701752,100.15730659704103,99.18313477846195,99.93860015272706,4494245
2025-10-28,97.56966920720843,98.3949985232622,97.71322330636708,97.942526065184,4032751
2025-10-29,99.68748094168436,100.03133730352074,99.42086461484831,99.64165587428243,3446184
2025-10-30,98.5640535067357,99.5247546719304,99.5485670322232,99.53896834657812,2714948
2025-10-31,98.71016478386085,99.88866433589072,97.41845868305067,98.71412002977118,4532622
2025-11-01,98.73641086754337,100.41612844892572,100.25892326305926,99.39325489257035,2435694
2025-11-02,98.13177707282449,98.87661194070976,97.32840023322812,98.4339629374869,2135464
2025-11-03,99.03819630339996,98.8231684766107,98.90609695864802,99.43134568952317,4928892
2025-11-04,98.86530849468113,100.22048236322638,99.62420156641006,99.34402424251655,3426807
2025-11-05,101.18819734022183,101.55226182557618,100.28342076037298,100.56964168975612,1207168
2025-11-06,97.8199770184374,97.32813996094815,98.08419743332841,97.87498165895725,2191596
2025-11-07,94.6375344412891,94.69869973542089,95.5162947401489,94.89115732646093,1881137
2025-11-08,95.99613930313554,96.97373051681241,96.47690144227711,95.96166095386803,2887433
2025-11-09,93.48958188440002,94.21415733635979,93.841924633753,93.73592676951128,2730828
2025-11-10,94.86943964573665,96.31875360292567,95.47277976597039,95.03635115233187,2341666
2025-11-11,95.38109938625188,94.72132423124108,95.42872403055775,95.35322743259731,4400259
2025-11-12,97.15177574413849,96.60372569465615,96.60434419197139,96.92987411359165,2979236
2025-11-13,95.07233193151761,94.9762922966519,94.51500303040322,95.31149929571382,3472611
2025-11-14,92.15297685114714,93.37543426648514,91.93620967386566,92.84191562300269,4242286
