week,score,group
2024-01-15,0.6267356191208907,high_weight
2024-01-15,0.5851493399386091,low_weight
2024-01-22,0.7926233188668997,high_weight
2024-01-22,0.40276542594932835,low_weight
2024-01-29,0.31257253086482145,low_weight
2024-02-05,0.40387091525798163,low_weight
2024-02-12,0.3135961303694844,high_weight
2024-02-12,0.4150613299535754,low_weight
2024-02-19,0.5664456616769582,low_weight
2024-02-26,0.4782799779803782,low_weight
2024-03-04,0.22481079950107322,low_weight
2024-03-04,0.4568616113244631,high_weight
2024-03-11,0.8443753271178369,high_weight
2024-03-11,0.5288292540476811,low_weight
2024-03-18,0.7692033349643268,low_weight
2024-03-25,0.37437596574395826,high_weight
2024-03-25,0.24133766587926145,low_weight
2024-04-01,0.5229895114459814,high_weight
2024-04-01,0.21370169352996993,low_weight
2024-04-08,0.7502934915820954,low_weight
2024-04-08,0.45061719385650884,high_weight
2024-04-15,0.1622836130288676,low_weight
2024-04-22,0.5851979558913906,low_weight
2024-04-29,0.5325751144953443,high_weight
2024-04-29,0.3453015984691474,low_weight
2024-05-06,0.5317336428027001,low_weight
2024-05-06,0.14931750614646463,high_weight
2024-05-13,0.5208861636388787,low_weight
2024-05-20,0.6006833750134144,low_weight
2024-05-27,0.6336879069574591,low_weight
2024-05-27,0.4258587361300046,high_weight
2024-06-03,0.38340428345819033,low_weight
2024-06-03,0.47161043014919324,high_weight
2024-06-10,0.7592443908708383,high_weight
2024-06-10,0.5934575815604277,low_weight
2024-06-17,0.09193595985628279,low_weight
2024-06-24,0.4481698304402615,high_weight
2024-06-24,0.5270956178920576,low_weight
2024-07-01,0.3724658382601224,high_weight
2024-07-01,0.5444857406544337,low_weight
2024-07-08,0.15639780173943435,high_weight
2024-07-08,0.4806093275820528,low_weight
2024-07-15,0.5712247914806834,high_weight
2024-07-15,0.3987210930710442,low_weight
2024-07-22,0.4071262466094564,low_weight
2024-07-29,0.47393522767589796,low_weight
2024-08-05,0.03252934046269397,high_weight
2024-08-05,0.7024489503751274,low_weight
2024-08-12,0.5341555603432557,low_weight
2024-08-19,0.21896387627030606,low_weight
2024-08-26,0.5260582477279552,low_weight
2024-08-26,0.8750218916753015,high_weight
2024-09-02,0.5179731279611361,low_weight
2024-09-02,0.397394993786623,high_weight
2024-09-09,0.404701534246425,low_weight
2024-09-09,0.5963481884671903,high_weight
2024-09-16,0.3547739321225035,low_weight
2024-09-23,0.27846313219503027,low_weight
2024-09-30,0.5675104940707815,low_weight
2024-09-30,0.3645105773800493,high_weight
2024-10-07,0.44565160210464394,low_weight
2024-10-14,0.26086222821153493,low_weight
2024-10-14,0.29359109971546243,high_weight
2024-10-21,0.5053195326452041,low_weight
2024-10-21,0.5260266309856575,high_weight
2024-10-28,0.6097984562343904,low_weight
2024-10-28,0.16481089505536634,high_weight
2024-11-04,0.5379355068236007,low_weight
2024-11-04,0.2688223666494983,high_weight
2024-11-11,0.4368014177602265,high_weight
2024-11-11,0.1725626159618401,low_weight
2024-11-18,0.32609601775036773,high_weight
2024-11-18,0.49126443570219236,low_weight
2024-11-25,0.18423498575329159,low_weight
2024-12-02,0.772172082107709,low_weight
2024-12-02,0.5767617164688504,high_weight
2024-12-09,0.3073286483787742,low_weight
2024-12-16,0.44316839434804095,low_weight
2024-12-23,0.5069358107133937,low_weight
2024-12-30,0.34069886407817035,low_weight
2025-01-06,0.3583356753961994,high_weight
2025-01-06,0.5718599484408703,low_weight
2025-01-13,0.5471349609851149,low_weight
2025-01-20,0.6210984126207384,low_weight
2025-01-20,0.7953501144461936,high_weight
2025-01-27,0.3573050137334163,low_weight
2025-01-27,0.8020616856019929,high_weight
2025-02-03,0.492483595969026,low_weight
2025-02-03,0.3022937729266197,high_weight
2025-02-10,0.4291842596067296,low_weight
2025-02-10,0.9353467525437542,high_weight
2025-02-17,0.29282210120965074,low_weight
2025-02-17,0.7654879861742924,high_weight
2025-02-24,0.35321879235868475,low_weight
2025-02-24,0.33364510094818317,high_weight
2025-03-03,0.281183736695162,low_weight
2025-03-03,0.31696485147426545,high_weight
